Ibirité,,EL,226,222,222,230,8,4%,---,*,,,,,,,,,,,,,,
Seropédica,,GFOM,386,295,295,0,-295,-100%,(3),*,,,,,,,,,,,,,,
Nova Piratininga,,---,576,285,0,0,---,---,(2),*,,,,,,,,,,,,,,
Cuiabá,,IN,529,0,0,348,348,100%,(3),*,,,,,,,,,,,,,,
Termomacaé,,GFOM,923,780,780,530,-250,-32%,(3),*,,,,,,,,,,,,,,
Viana,,---,175,175,0,0,---,---,---,*,,,,,,,,,,,,,,
Termonorte II,,---,340,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Igarapé,,---,131,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Palmeiras de Goiás,,---,176,94,0,0,---,---,(3),*,,,,,,,,,,,,,,
Campos,,---,25,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Daia,,---,44,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Goiânia 2,,---,140,140,0,0,---,---,---,*,,,,,,,,,,,,,,
Araguaia,,---,23,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Caçu - I,,IN,130,93,93,40,-53,-57%,(3),*,,,,,,,,,,,,,,
Ipaussu,,IN,76,60,60,60,---,0%,(3),*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SE / CO,,,10042,7164,6218,6269,28,1%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Usinas,,Razão do , Capacidade (*),, Média Diária,, Média Diária,,Obs.,,,,,,,,,,,,,,,
,,Despacho,Instal.,Dispon.,Prog.,Verif.,Difer. E,Var %(**),,,,,,,,,,,,,,,,
    S U L,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Pampa Sul,,EN,345,320,320,104,-216,-68%,---,*,,,,,,,,,,,,,,
Candiota III,,EN,350,310,310,332,22,7%,(3),*,,,,,,,,,,,,,,
J. Lacerda C,,EN,363,300,300,0,-300,-100%,(3),*,,,,,,,,,,,,,,
J. Lacerda B,,EN,262,220,220,221,1,0%,(3),*,,,,,,,,,,,,,,
J. Lacerda A,,EN,232,190,190,192,2,1%,(3),*,,,,,,,,,,,,,,
Figueira,,---,20,0,0,0,---,---,(2),*,,,,,,,,,,,,,,
Uruguaiana,,---,640,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Araucária,,GFOM,484,480,480,475,-5,-1%,---,*,,,,,,,,,,,,,,
Canoas,,---,262,240,0,0,---,---,---,*,,,,,,,,,,,,,,
Klabin,,IN,330,220,220,250,30,14%,(3),*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL S,,,3288,2280,2040,1574,-466,-23%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
    N O R D E S T E,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Termopernambuco,,EN,533,533,533,549,16,3%,---,*,,,,,,,,,,,,,,
Porto Pecém I,,EN,720,360,360,356,-4,-1%,(2),*,,,,,,,,,,,,,,
Porto Pecém II,,EN,365,365,365,365,---,0%,---,*,,,,,,,,,,,,,,
Prosperidade I,,EN,28,28,28,28,---,0%,---,*,,,,,,,,,,,,,,
Fortaleza,,EN,327,160,160,163,3,2%,(4),*,,,,,,,,,,,,,,
Termocamaçari,,---,26,20,0,0,---,---,(3),*,,,,,,,,,,,,,,
Termoceará,,IN,220,180,175,0,-175,-100%,(3),*,,,,,,,,,,,,,,
Termobahia,,IN,186,160,160,160,---,0%,(3),*,,,,,,,,,,,,,,
Vale do Açú,,IN,323,320,150,148,-2,-1%,---,*,,,,,,,,,,,,,,
Sykue I,,IN,30,24,24,23,-1,-4%,(3),*,,,,,,,,,,,,,,
Pernambuco III,,---,200,174,0,0,---,---,(3),*,,,,,,,,,,,,,,
Maracanaú I,,---,168,140,0,0,---,---,(2),*,,,,,,,,,,,,,,
Termocabo,,---,50,49,0,0,---,---,---,*,,,,,,,,,,,,,,
Termonordeste,,---,171,153,0,0,---,---,(3),*,,,,,,,,,,,,,,
Termoparaíba,,---,171,153,0,0,---,---,(3),*,,,,,,,,,,,,,,
Campina Grande,,---,169,160,0,0,---,---,---,*,,,,,,,,,,,,,,
Suape II,,---,381,314,0,0,---,---,(2),*,,,,,,,,,,,,,,
Global I,,---,149,130,0,0,---,---,(3),*,,,,,,,,,,,,,,
Global II,,---,149,130,0,0,---,---,(3),*,,,,,,,,,,,,,,
Arembepe,,---,150,100,0,0,---,---,(3),*,,,,,,,,,,,,,,
Muricy,,---,147,128,0,0,---,---,(3),*,,,,,,,,,,,,,,
Petrolina,,---,136,38,0,0,---,---,(3),*,,,,,,,,,,,,,,
Potiguar III,,---,66,55,0,0,---,---,(3),*,,,,,,,,,,,,,,
Potiguar,,---,53,53,0,0,---,---,---,*,,,,,,,,,,,,,,
Pau Ferro I,,---,94,94,0,0,---,---,---,*,,,,,,,,,,,,,,
Termomanaus,,---,143,143,0,0,---,---,---,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL NE,,,5155,4164,1955,1792,-163,-8%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Usinas,,Razão do ,    Capacidade (*),,     Média Diária,, Média Diária,,Obs.,,,,,,,,,,,,,,,
,,Despacho,Instal.,Dispon.,Prog.,Verif.,Difer. E,Var %(**),,,,,,,,,,,,,,,,
    N O R T E ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Aparecida,,EN,166,123,123,116,-7,-6%,(4),*,,,,,,,,,,,,,,
Mauá 3,,EN,591,566,566,554,-12,-2%,---,*,,,,,,,,,,,,,,
Maranhão III,,EN,519,507,507,493,-14,-3%,---,*,,,,,,,,,,,,,,
Maranhão IV,,EN,338,333,333,322,-11,-3%,---,*,,,,,,,,,,,,,,
Maranhão V,,EN,338,333,333,321,-12,-4%,---,*,,,,,,,,,,,,,,
Porto do Itaqui,,EN,360,360,360,359,-1,0%,---,*,,,,,,,,,,,,,,
Parnaíba IV,,EN,56,56,56,55,-1,-2%,---,*,,,,,,,,,,,,,,
Nova Venécia,,EN,178,175,175,168,-7,-4%,---,*,,,,,,,,,,,,,,
Mauá Bloco 3,,---,110,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Mauá Bloco 4,,---,158,0,0,0,---,---,(2),*,,,,,,,,,,,,,,
Geramar I,,---,166,159,0,0,---,---,---,*,,,,,,,,,,,,,,
Geramar II,,---,166,159,0,0,---,---,---,*,,,,,,,,,,,,,,
São José,,---,50,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Iranduba,,---,25,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Flores,,---,80,0,0,0,---,---,(3),*,,,,,,,,,,,,,,
Cristiano Rocha,,IN,85,65,65,66,1,2%,(3),*,,,,,,,,,,,,,,
Jaraqui,,IN,75,45,45,54,9,20%,(3),*,,,,,,,,,,,,,,
Manauara,,IN,67,65,65,67,2,3%,---,*,,,,,,,,,,,,,,
Ponta Negra,,IN,66,64,64,65,1,2%,---,*,,,,,,,,,,,,,,
